MedicineID,MedicineName,DosageForm,Category,Type,UnitPrice,SupplierID,RequiresPrescription,StorageCondition
MED0001,Mebo Scar,Ointment,Topical,Drug,26.66,SUP002,No,Room Temperature
MED0002,Fucidine 15G Oint,Ointment,Topical,Drug,3.93,SUP003,No,Refrigerated
MED0003,Irazole  100Mg  15Tab,Capsule,Oral Solid,Drug,6.59,SUP010,No,Cool & Dry
MED0004,Mesone,Ointment,Topical,Drug,11.26,SUP013,No,Cool & Dry
MED0005,Fucicort,Cream,Topical,Drug,30.25,SUP004,No,Cool & Dry
MED0006,Istovin 20Mg,Capsule,Oral Solid,Drug,14.02,SUP013,Yes,Cool & Dry
MED0007,Clorocil 5G Eye Ointments,Ointment,Topical,Drug,36.01,SUP002,Yes,Refrigerated
MED0008,Heal Fast Gel 50Ml,Cream,Topical,Supply,6.22,SUP014,Yes,Room Temperature
MED0009,Mucosolve 100Ml,Syrup,Oral Liquid,Drug,8.75,SUP002,Yes,Refrigerated
MED0010,Cosinus 60Ml Nose And Sinuses,Spray,Respiratory,Drug,8.95,SUP001,No,Refrigerated
MED0011,Piodol Cold&Flu Day,Tablet,Oral Solid,Drug,5.54,SUP012,Yes,Room Temperature
MED0012,Piodol Night,Tablet,Oral Solid,Drug,10.85,SUP001,No,Refrigerated
MED0013,Fucidine 15G Cream,Cream,Topical,Drug,3.98,SUP012,No,Refrigerated
MED0014,Cystiphane Biorga Hair Loss,Shampoo,Personal Care,Supply,7.57,SUP013,No,Room Temperature
MED0015,Caelin Vitamin E Plus,Soap,Personal Care,Supply,20.2,SUP006,No,Room Temperature
MED0016,Asmafort Tablet,Tablet,Oral Solid,Drug,11.58,SUP014,No,Room Temperature
MED0017,D-Lortin 5Mg,Tablet,Oral Solid,Drug,5.58,SUP015,No,Refrigerated
MED0018,Caelin %2 Sulfur,Soap,Personal Care,Supply,18.5,SUP010,No,Cool & Dry
MED0019,Acm Depiwhite Advanced,Cream,Topical,Supply,32.95,SUP002,No,Refrigerated
MED0020,Queen Aromatherapy Grad,Soap,Personal Care,Supply,2.18,SUP003,No,Room Temperature
MED0021,Sebium Photoderm Akn Mat Spf 30 40Ml,Cream,Topical,Supply,32.82,SUP010,Yes,Room Temperature
MED0022,Refit Cap,Capsule,Oral Solid,Drug,14.42,SUP011,Yes,Cool & Dry
MED0023,Seawater Nasal Spray,Nasal Spray,Nasal,Drug,11.81,SUP014,No,Room Temperature
MED0024,Panda 1000Mg,Tablet,Oral Solid,Drug,4.38,SUP008,Yes,Refrigerated
MED0025,Prednisolon  5Mg,Tablet,Oral Solid,Drug,19.21,SUP011,No,Room Temperature
MED0026,Allermine 25Mg,Tablet,Oral Solid,Drug,7.73,SUP014,No,Room Temperature
MED0027,Benzac Ac 5%,Cream,Topical,Drug,6.43,SUP006,No,Room Temperature
MED0028,Isotoin 20Mg Usp,Capsule,Oral Solid,Drug,3.29,SUP013,No,Room Temperature
MED0029,Trimoks 480Mg,Tablet,Oral Solid,Drug,17.18,SUP011,No,Refrigerated
MED0030,Babe New Nuevo Spf 50,Cream,Topical,Supply,25.34,SUP002,No,Room Temperature
MED0031,Opizole B,Cream,Topical,Drug,32.86,SUP010,Yes,Room Temperature
MED0032,Colgate Maxwhite 75Ml,Toothpaste,Personal Care,Supply,22.43,SUP002,No,Room Temperature
MED0033,Canesten 20G Skin Cream,Cream,Topical,Drug,22.84,SUP001,No,Refrigerated
MED0034,Pediatric  Emollient 200Ml,Cream,Topical,Supply,39.01,SUP012,No,Room Temperature
MED0035,Caelin  Baby Care,Soap,Personal Care,Supply,12.6,SUP003,No,Room Temperature
MED0036,Colevit D3 5000Iu,Capsule,Oral Solid,Drug,11.71,SUP004,No,Cool & Dry
MED0037,Clavomed 500/125Mg,Tablet,Oral Solid,Supply,16.84,SUP015,Yes,Cool & Dry
MED0038,Betasalek 30G,Ointment,Topical,Drug,25.89,SUP012,Yes,Room Temperature
MED0039,Lasix  40Mg,Tablet,Oral Solid,Drug,17.44,SUP015,No,Room Temperature
MED0040,Cipro 500Mg,Tablet,Oral Solid,Drug,12.18,SUP002,Yes,Room Temperature
MED0041,Odnatron Injection 8Mg/4M,Solution,Oral Liquid,Supply,13.27,SUP003,No,Refrigerated
MED0042,Prospan,Syrup,Oral Liquid,Drug,2.73,SUP002,Yes,Room Temperature
MED0043,No-Vomit 8Mg,Tablet,Oral Solid,Drug,5.72,SUP012,Yes,Room Temperature
MED0044,Kidssi Growth 150Ml,Syrup,Oral Liquid,Drug,6.63,SUP002,No,Cool & Dry
MED0045,Rugard Urea %10 Repair Bodylotion,Lotion,Topical,Supply,5.95,SUP001,Yes,Refrigerated
MED0046,Chloramphenicol 1% W/W Eye Oint,Ointment,Topical,Supply,11.61,SUP007,No,Room Temperature
MED0047,Johson Baby,Oil,Personal Care,Supply,4.83,SUP013,Yes,Refrigerated
MED0048,Bebe Shampoo Zartpflege 200Ml,Shampoo,Personal Care,Supply,9.78,SUP011,No,Refrigerated
MED0049,Sodium Chloride-Darnista 400Ml\,Solution,Oral Liquid,Supply,12.17,SUP004,No,Room Temperature
MED0050,Levoximed  500Mg,Tablet,Oral Solid,Drug,8.25,SUP004,No,Cool & Dry
MED0051,Fenaclo 30Tab Aceclofenac 100Mg,Tablet,Oral Solid,Supply,8.35,SUP001,No,Refrigerated
MED0052,Arthri Flex,Gel,Topical,Drug,10.75,SUP012,No,Cool & Dry
MED0053,Bioflex Plus Join Repair Formula,Tablet,Oral Solid,Drug,6.44,SUP002,Yes,Room Temperature
MED0054,Ketalgin Long 30Mg,Injection,Injectable,Drug,75.57,SUP007,No,Room Temperature
MED0055,Doreta,Tablet,Oral Solid,Drug,13.49,SUP006,No,Room Temperature
MED0056,Ice Power Cold Gel,Gel,Topical,Drug,25.54,SUP011,No,Room Temperature
MED0057,Lipo6 Black,Capsule,Oral Solid,Supply,4.67,SUP009,No,Cool & Dry
MED0058,Bioderma Atoderm Intensive Baume  200Ml,Lotion,Topical,Supply,29.98,SUP004,No,Room Temperature
MED0059,Chlomal 100Ml,Syrup,Oral Liquid,Drug,4.61,SUP008,Yes,Cool & Dry
MED0060,Cotrim Fort,Tablet,Oral Solid,Drug,8.52,SUP014,No,Cool & Dry
MED0061,Ibulife 400Mg,Tablet,Oral Solid,Drug,19.81,SUP004,Yes,Cool & Dry
MED0062,X-Cough 100Ml,Syrup,Oral Liquid,Drug,12.24,SUP012,No,Refrigerated
MED0063,Bioderma Sebium,Gel,Topical,Supply,23.61,SUP008,No,Room Temperature
MED0064,Dexamethasone 10 Ampoules,Solution,Oral Liquid,Supply,12.95,SUP010,Yes,Cool & Dry
MED0065,Alfacort Cream,Cream,Topical,Drug,34.19,SUP012,Yes,Room Temperature
MED0066,Lora Aiwa 10Mg,Tablet,Oral Solid,Drug,15.86,SUP003,No,Room Temperature
MED0067,Folene Treatment Eyelash And Eyebrow,Lotion,Topical,Supply,11.47,SUP008,No,Room Temperature
MED0068,Gainuup Powerful Fruits 300G,Powder,Dermatology,Supply,5.64,SUP005,No,Refrigerated
MED0069,Fat Fast  Capsol 60,Capsule,Oral Solid,Supply,7.34,SUP012,Yes,Cool & Dry
MED0070,P.O,Powder,Dermatology,Supply,10.35,SUP011,No,Room Temperature
MED0071,Lizest Syrup 150Ml,Syrup,Oral Liquid,Supply,5.38,SUP010,Yes,Refrigerated
MED0072,Nutrigen Vegy 12Vitamins +3Minerals  200Ml,Syrup,Oral Liquid,Drug,17.09,SUP014,No,Room Temperature
MED0073,Nectar 100% Natural,Powder,Dermatology,Supply,22.53,SUP014,Yes,Room Temperature
MED0074,Capsoli Batal,Capsule,Oral Solid,Drug,7.32,SUP001,Yes,Cool & Dry
MED0075,White Plus [+] Night 30Ml,Cream,Topical,Supply,27.25,SUP008,No,Room Temperature
MED0076,Gold Collagen Anti-Ageing,Serum,Topical,Supply,17.64,SUP003,No,Room Temperature
MED0077,Avene Antirougeurs Fort  30Ml,Cream,Topical,Supply,36.84,SUP009,Yes,Refrigerated
MED0078,Cystiphane Biorga,Tablet,Oral Solid,Drug,9.99,SUP001,Yes,Refrigerated
MED0079,Eromycin  125Mg,Syrup,Oral Liquid,Drug,6.24,SUP002,No,Room Temperature
MED0080,Mebo,Ointment,Topical,Drug,12.13,SUP003,Yes,Cool & Dry
MED0081,Avene Cleanance Gel  300Ml,Gel,Topical,Supply,23.77,SUP004,Yes,Refrigerated
MED0082,Femifol Aiwa 5Mg,Tablet,Oral Solid,Drug,6.36,SUP005,Yes,Room Temperature
MED0083,Isomac 20,Capsule,Oral Solid,Drug,12.31,SUP003,Yes,Cool & Dry
MED0084,Elica-M,Ointment,Topical,Drug,36.22,SUP015,No,Room Temperature
MED0085,Multvitamin Orange Flavour,Tablet,Oral Solid,Supply,8.89,SUP009,No,Room Temperature
MED0086,Panderm Skin Ointment,Ointment,Topical,Drug,11.11,SUP010,Yes,Room Temperature
MED0087,Sulphur %10 (Sulphatan),Soap,Personal Care,Supply,29.93,SUP004,Yes,Room Temperature
MED0088,Mydocalm 150Mg  Labatec Pharma,Tablet,Oral Solid,Drug,10.93,SUP012,No,Refrigerated
MED0089,Diclo-Denk 100Mg,Suppository,Suppository,Drug,5.45,SUP002,No,Room Temperature
MED0090,Ciprofloxacin 500Mg /Accord,Tablet,Oral Solid,Drug,2.37,SUP012,No,Cool & Dry
MED0091,Acm Depiwhite Eye Contour,Gel,Topical,Supply,7.06,SUP013,Yes,Room Temperature
MED0092,Cytomid 250Mg,Tablet,Oral Solid,Drug,13.11,SUP002,No,Room Temperature
MED0093,Dilaprost 5Mg,Tablet,Oral Solid,Drug,16.15,SUP004,No,Cool & Dry
MED0094,Hydroderm Moisturizing  Urea 5%,Cream,Topical,Supply,18.62,SUP003,Yes,Refrigerated
MED0095,White Intense Night 30Ml,Cream,Topical,Supply,5.35,SUP014,Yes,Refrigerated
MED0096,Triamcinolon N.N.,Ointment,Topical,Drug,17.12,SUP006,No,Refrigerated
MED0097,Depo-Medrol 40Mg,Injection,Injectable,Drug,79.73,SUP013,No,Room Temperature
MED0098,Onlefit Cap,Capsule,Oral Solid,Drug,11.29,SUP004,Yes,Room Temperature
MED0099,Meratrum 3 A-Z/30Tab.,Tablet,Oral Solid,Drug,19.46,SUP003,Yes,Room Temperature
MED0100,Fokids Vitality  150Ml,Syrup,Oral Liquid,Drug,15.77,SUP007,No,Cool & Dry
MED0101,Nutricia Nutrinidrink Vanilla,Milk Formula,Oral Liquid,Supply,2.18,SUP011,Yes,Room Temperature
MED0102,Novophan Energizing,Shampoo,Personal Care,Supply,22.18,SUP014,No,Room Temperature
MED0103,Hair Booster 60Gum,Lozenge,Oral Solid,Drug,14.11,SUP010,Yes,Refrigerated
MED0104,Vichy Energising Hair Loss Shampoo 200 Ml,Shampoo,Personal Care,Supply,17.04,SUP005,No,Cool & Dry
MED0105,Nutrigen Growmega Fish Oil  200Ml Help Childern,Syrup,Oral Liquid,Drug,6.27,SUP010,No,Room Temperature
MED0106,Benzoyl Gel 5% Coral,Gel,Topical,Drug,26.72,SUP007,No,Room Temperature
MED0107,Medulac-Wm,Syrup,Oral Liquid,Drug,3.78,SUP009,Yes,Room Temperature
MED0108,Sensilab Flexi Force 100Ml,Gel,Topical,Drug,19.09,SUP011,No,Cool & Dry
MED0109,Uricol Powder,Sachet,Oral Solid,Drug,9.89,SUP005,Yes,Refrigerated
