InvoiceID,MedicineID,MedicineName,DosageForm,Category,Type,QuantitySold,SaleDate,SaleTime,UnitPrice,Revenue,CostPrice,Profit,DiscountPct,PaymentMethod,CustomerType,EmployeeID,SupplierID
1195569,MED0001,Mebo Scar,Ointment,Topical,Drug,1,15-04-2024,11:59,26.66,26.66,17.86,8.8,0,Mobile Payment,New,EMP005,SUP002
1195582,MED0002,Fucidine 15G Oint,Ointment,Topical,Drug,1,11-11-2024,14:18,3.93,3.93,2.63,1.3,10,Cash,New,EMP016,SUP003
1195582,MED0003,Irazole  100Mg  15Tab,Capsule,Oral Solid,Drug,3,11-11-2024,14:18,6.59,19.77,13.24,6.53,0,Mobile Payment,Regular,EMP020,SUP010
1195656,MED0004,Mesone,Ointment,Topical,Drug,1,17-03-2024,20:52,11.26,11.26,7.54,3.72,15,Insurance,New,EMP017,SUP013
1195664,MED0004,Mesone,Cream,Topical,Drug,1,18-02-2024,11:29,11.26,11.26,7.54,3.72,10,Card,New,EMP014,SUP013
1195664,MED0005,Fucicort,Cream,Topical,Drug,1,18-02-2024,11:29,30.25,30.25,20.26,9.99,0,Cash,Walk-in,EMP006,SUP004
1195714,MED0006,Istovin 20Mg,Capsule,Oral Solid,Drug,1,20-02-2024,15:05,14.02,14.02,9.39,4.63,0,Insurance,Regular,EMP008,SUP013
1195723,MED0007,Clorocil 5G Eye Ointments,Ointment,Topical,Drug,1,16-03-2024,15:39,36.01,36.01,24.12,11.89,0,Mobile Payment,Regular,EMP020,SUP002
1195723,MED0008,Heal Fast Gel 50Ml,Cream,Topical,Supply,1,16-03-2024,15:39,6.22,6.22,4.17,2.05,0,Insurance,Regular,EMP017,SUP014
1195723,MED0009,Mucosolve 100Ml,Syrup,Oral Liquid,Drug,1,16-03-2024,15:39,8.75,8.75,5.86,2.89,0,Cash,Regular,EMP010,SUP002
1195723,MED0010,Cosinus 60Ml Nose And Sinuses,Spray,Respiratory,Drug,1,16-03-2024,15:39,8.95,8.95,5.99,2.96,5,Cash,Walk-in,EMP016,SUP001
1195723,MED0011,Piodol Cold&Flu Day,Tablet,Oral Solid,Drug,1,16-03-2024,15:39,5.54,5.54,3.71,1.83,10,Insurance,Regular,EMP003,SUP012
1195723,MED0012,Piodol Night,Tablet,Oral Solid,Drug,1,16-03-2024,15:39,10.85,10.85,7.27,3.58,0,Mobile Payment,New,EMP014,SUP001
1195772,MED0013,Fucidine 15G Cream,Cream,Topical,Drug,1,24-12-2024,18:22,3.98,3.98,2.67,1.31,5,Cash,Regular,EMP020,SUP012
1195772,MED0014,Cystiphane Biorga Hair Loss,Shampoo,Personal Care,Supply,1,24-12-2024,18:20,7.57,7.57,5.07,2.5,0,Insurance,Regular,EMP001,SUP013
