InventoryID,MedicineID,MedicineName,CurrentStock,ReorderPoint,MaxStock,StockStatus,LastRestockDate,ExpiryDate,UnitCost
INV0001,MED0001,Mebo Scar,249,23,625,High,2026-07-07,2028-05-31,15.14
INV0002,MED0002,Fucidine 15G Oint,24,37,906,Low,2026-07-07,2028-02-28,2.5
INV0003,MED0003,Irazole  100Mg  15Tab,408,39,681,High,2026-07-07,2028-04-30,4.72
INV0004,MED0004,Mesone,89,24,407,High,2026-07-07,2026-11-01,7.49
INV0005,MED0005,Fucicort,460,44,802,High,2026-07-07,2027-08-19,19.9
INV0006,MED0006,Istovin 20Mg,206,28,692,High,2026-07-07,2027-05-22,8.88
INV0007,MED0007,Clorocil 5G Eye Ointments,71,37,402,Normal,2026-07-07,2028-05-14,22.78
INV0008,MED0008,Heal Fast Gel 50Ml,438,27,241,High,2026-07-07,2027-11-27,3.89
INV0009,MED0009,Mucosolve 100Ml,224,37,308,High,2026-07-07,2028-02-06,6.15
INV0010,MED0010,Cosinus 60Ml Nose And Sinuses,13,25,493,Low,2026-07-07,2028-03-10,5.75
INV0011,MED0011,Piodol Cold&Flu Day,354,43,933,High,2026-07-07,2027-08-10,3.56
INV0012,MED0012,Piodol Night,411,31,676,High,2026-07-07,2027-10-05,7.57
INV0013,MED0013,Fucidine 15G Cream,266,21,215,High,2026-07-07,2027-01-25,2.3
INV0014,MED0014,Cystiphane Biorga Hair Loss,141,41,500,High,2026-07-07,2027-12-20,4.41
INV0015,MED0015,Caelin Vitamin E Plus,403,24,418,High,2026-07-07,2027-10-15,14.12
INV0016,MED0016,Asmafort Tablet,105,25,324,High,2026-07-07,2026-11-27,7.14
INV0017,MED0017,D-Lortin 5Mg,29,45,593,Low,2026-07-07,2027-09-04,3.64
INV0018,MED0018,Caelin %2 Sulfur,400,32,764,High,2026-07-07,2026-07-15,11.28
INV0019,MED0019,Acm Depiwhite Advanced,243,28,607,High,2026-07-07,2028-04-06,21.86
INV0020,MED0020,Queen Aromatherapy Grad,20,32,653,Low,2026-07-07,2027-12-09,1.45
INV0021,MED0021,Sebium Photoderm Akn Mat Spf 30 40Ml,192,22,647,High,2026-07-07,2027-08-23,21.51
INV0022,MED0022,Refit Cap,70,27,791,Normal,2026-07-07,2028-03-05,10.01
INV0023,MED0023,Seawater Nasal Spray,478,49,573,High,2026-07-07,2027-11-11,7.89
INV0024,MED0024,Panda 1000Mg,491,48,345,High,2026-07-07,2028-06-16,2.48
INV0025,MED0025,Prednisolon  5Mg,38,43,318,Low,2026-07-07,2027-10-15,13.3
INV0026,MED0026,Allermine 25Mg,468,29,348,High,2026-07-07,2028-03-08,4.76
INV0027,MED0027,Benzac Ac 5%,12,35,209,Low,2026-07-07,2027-04-20,3.77
INV0028,MED0028,Isotoin 20Mg Usp,196,21,864,High,2026-07-07,2026-08-02,2.1
INV0029,MED0029,Trimoks 480Mg,142,48,1000,Normal,2026-07-07,2028-01-03,9.91
INV0030,MED0030,Babe New Nuevo Spf 50,444,26,919,High,2026-07-07,2027-10-29,17.16
INV0031,MED0031,Opizole B,67,39,751,Normal,2026-07-07,2027-11-26,22.91
INV0032,MED0032,Colgate Maxwhite 75Ml,305,24,495,High,2026-07-07,2028-04-17,14.4
INV0033,MED0033,Canesten 20G Skin Cream,159,36,267,High,2026-07-07,2027-03-05,13.42
INV0034,MED0034,Pediatric  Emollient 200Ml,15,29,309,Low,2026-07-07,2026-08-05,26.35
INV0035,MED0035,Caelin  Baby Care,317,45,276,High,2026-07-07,2027-08-22,8.67
INV0036,MED0036,Colevit D3 5000Iu,171,47,434,High,2026-07-07,2028-03-02,6.53
INV0037,MED0037,Clavomed 500/125Mg,61,31,272,Normal,2026-07-07,2027-06-24,10.34
INV0038,MED0038,Betasalek 30G,378,31,981,High,2026-07-07,2027-05-01,17.79
INV0039,MED0039,Lasix  40Mg,291,32,915,High,2026-07-07,2028-01-08,10.45
INV0040,MED0040,Cipro 500Mg,375,45,450,High,2026-07-07,2027-01-07,7.18
INV0041,MED0041,Odnatron Injection 8Mg/4M,454,49,829,High,2026-07-07,2028-02-11,9.24
INV0042,MED0042,Prospan,129,29,763,High,2026-07-07,2027-01-27,1.54
INV0043,MED0043,No-Vomit 8Mg,11,30,217,Low,2026-07-07,2027-07-31,3.94
INV0044,MED0044,Kidssi Growth 150Ml,460,44,482,High,2026-07-07,2028-06-29,4.67
INV0045,MED0045,Rugard Urea %10 Repair Bodylotion,225,28,987,High,2026-07-07,2028-03-13,4.28
INV0046,MED0046,Chloramphenicol 1% W/W Eye Oint,261,36,799,High,2026-07-07,2026-10-26,7.94
INV0047,MED0047,Johson Baby,448,50,325,High,2026-07-07,2026-12-10,2.92
INV0048,MED0048,Bebe Shampoo Zartpflege 200Ml,136,37,545,High,2026-07-07,2026-09-29,5.91
INV0049,MED0049,Sodium Chloride-Darnista 400Ml\,401,49,313,High,2026-07-07,2027-08-05,6.98
INV0050,MED0050,Levoximed  500Mg,404,22,659,High,2026-07-07,2027-07-20,5.81
INV0051,MED0051,Fenaclo 30Tab Aceclofenac 100Mg,178,45,300,High,2026-07-07,2027-06-28,4.78
INV0052,MED0052,Arthri Flex,313,31,983,High,2026-07-07,2028-03-03,6.94
INV0053,MED0053,Bioflex Plus Join Repair Formula,269,23,549,High,2026-07-07,2026-08-30,3.94
INV0054,MED0054,Ketalgin Long 30Mg,89,32,854,Normal,2026-07-07,2027-01-17,42.15
INV0055,MED0055,Doreta,353,45,812,High,2026-07-07,2027-01-14,8.48
INV0056,MED0056,Ice Power Cold Gel,126,43,592,Normal,2026-07-07,2027-01-06,14.13
INV0057,MED0057,Lipo6 Black,161,45,499,High,2026-07-07,2028-05-01,2.91
INV0058,MED0058,Bioderma Atoderm Intensive Baume  200Ml,387,46,578,High,2026-07-07,2027-12-16,20.42
INV0059,MED0059,Chlomal 100Ml,226,44,673,High,2026-07-07,2026-11-24,2.9
INV0060,MED0060,Cotrim Fort,28,31,266,Low,2026-07-07,2028-04-20,5.33
INV0061,MED0061,Ibulife 400Mg,23,34,408,Low,2026-07-07,2026-07-25,11.1
INV0062,MED0062,X-Cough 100Ml,266,34,325,High,2026-07-07,2027-02-03,7.48
INV0063,MED0063,Bioderma Sebium,422,28,972,High,2026-07-07,2027-09-03,15.6
INV0064,MED0064,Dexamethasone 10 Ampoules,282,40,970,High,2026-07-07,2027-06-22,7.63
INV0065,MED0065,Alfacort Cream,350,43,262,High,2026-07-07,2028-06-21,20.06
INV0066,MED0066,Lora Aiwa 10Mg,259,30,514,High,2026-07-07,2027-11-29,11.36
INV0067,MED0067,Folene Treatment Eyelash And Eyebrow,281,20,994,High,2026-07-07,2027-03-03,6.67
INV0068,MED0068,Gainuup Powerful Fruits 300G,236,29,274,High,2026-07-07,2027-11-03,3.91
INV0069,MED0069,Fat Fast  Capsol 60,267,47,532,High,2026-07-07,2026-12-05,4.92
INV0070,MED0070,P.O,353,25,592,High,2026-07-07,2027-03-19,5.78
INV0071,MED0071,Lizest Syrup 150Ml,298,25,540,High,2026-07-07,2028-04-16,3.2
INV0072,MED0072,Nutrigen Vegy 12Vitamins +3Minerals  200Ml,394,32,901,High,2026-07-07,2027-09-11,10.93
INV0073,MED0073,Nectar 100% Natural,85,48,661,Normal,2026-07-07,2026-09-11,13.1
INV0074,MED0074,Capsoli Batal,274,46,507,High,2026-07-07,2027-09-28,5.27
INV0075,MED0075,White Plus [+] Night 30Ml,239,33,638,High,2026-07-07,2026-12-04,16.15
INV0076,MED0076,Gold Collagen Anti-Ageing,15,34,868,Low,2026-07-07,2027-09-17,12.38
INV0077,MED0077,Avene Antirougeurs Fort  30Ml,359,26,347,High,2026-07-07,2027-01-19,23.26
INV0078,MED0078,Cystiphane Biorga,44,47,923,Low,2026-07-07,2026-07-21,5.85
INV0079,MED0079,Eromycin  125Mg,183,26,944,High,2026-07-07,2028-05-25,4.01
INV0080,MED0080,Mebo,481,32,687,High,2026-07-07,2026-11-07,7.53
INV0081,MED0081,Avene Cleanance Gel  300Ml,80,31,818,Normal,2026-07-07,2026-10-06,13.58
INV0082,MED0082,Femifol Aiwa 5Mg,467,36,641,High,2026-07-07,2028-01-13,4.28
INV0083,MED0083,Isomac 20,437,35,821,High,2026-07-07,2027-07-20,6.88
INV0084,MED0084,Elica-M,468,41,910,High,2026-07-07,2026-10-11,20.11
INV0085,MED0085,Multvitamin Orange Flavour,144,36,735,High,2026-07-07,2028-01-09,6.39
INV0086,MED0086,Panderm Skin Ointment,312,41,439,High,2026-07-07,2026-12-30,6.44
INV0087,MED0087,Sulphur %10 (Sulphatan),365,30,998,High,2026-07-07,2028-05-04,18.35
INV0088,MED0088,Mydocalm 150Mg  Labatec Pharma,130,28,206,High,2026-07-07,2028-03-27,6.66
INV0089,MED0089,Diclo-Denk 100Mg,23,41,737,Low,2026-07-07,2028-01-13,3.87
INV0090,MED0090,Ciprofloxacin 500Mg /Accord,319,44,348,High,2026-07-07,2028-06-02,1.49
INV0091,MED0091,Acm Depiwhite Eye Contour,305,33,960,High,2026-07-07,2026-12-29,3.98
INV0092,MED0092,Cytomid 250Mg,473,30,810,High,2026-07-07,2028-06-19,9.11
INV0093,MED0093,Dilaprost 5Mg,229,50,463,High,2026-07-07,2027-07-06,11.01
INV0094,MED0094,Hydroderm Moisturizing  Urea 5%,170,26,898,High,2026-07-07,2027-02-06,12.32
INV0095,MED0095,White Intense Night 30Ml,174,33,661,High,2026-07-07,2027-02-17,3.0
INV0096,MED0096,Triamcinolon N.N.,252,36,809,High,2026-07-07,2027-09-30,11.98
INV0097,MED0097,Depo-Medrol 40Mg,265,42,547,High,2026-07-07,2026-12-28,48.52
